geo_id,tract,total_pop,pop_over_18,pop_over_21,pop_over_60,median_age,med_inc_fams,med_inc_nonfams,tot_hhs,avg_hh_size,tot_fams,avg_fam_size,tot_pop_16,labor_force_rate
27001770100,"Census Tract 7701, Aitkin County, Minnesota",2240,1928,1895,962,57.1,60313,30093,1110,2.02,742,2.42,1965,47.6
27001770200,"Census Tract 7702, Aitkin County, Minnesota",2284,1815,1790,898,52.9,62222,31597,1131,2.01,668,2.52,1877,48.5
27001770300,"Census Tract 7703, Aitkin County, Minnesota",3483,2742,2681,1167,45.8,51944,20033,1567,2.07,964,2.56,2817,52.4
27001770400,"Census Tract 7704, Aitkin County, Minnesota",2970,2485,2396,1179,55.1,57243,29236,1452,2.05,911,2.51,2558,50.9
27001790501,"Census Tract 7905.01, Aitkin County, Minnesota",1905,1622,1563,815,56.0,61136,27422,955,1.99,590,2.48,1677,45.9
27001790502,"Census Tract 7905.02, Aitkin County, Minnesota",2952,2591,2547,1571,61.2,66917,29868,1466,2.00,1054,2.30,2642,45.6
27003050107,"Census Tract 501.07, Anoka County, Minnesota",2900,2031,1897,365,34.8,83542,39167,1006,2.88,716,3.30,2124,75.3
27003050108,"Census Tract 501.08, Anoka County, Minnesota",5252,3754,3578,600,33.0,86742,70929,1721,3.05,1268,3.47,3829,78.0
27003050109,"Census Tract 501.09, Anoka County, Minnesota",5481,4263,4010,948,39.0,105536,47244,1878,2.91,1545,3.14,4419,76.3
27003050110,"Census Tract 501.10, Anoka County, Minnesota",2670,2237,2095,436,44.2,103239,50652,991,2.69,745,2.96,2274,76.6
27003050111,"Census Tract 501.11, Anoka County, Minnesota",3719,2874,2794,706,40.0,105074,60850,1416,2.62,1035,3.04,2930,73.5
27003050114,"Census Tract 501.14, Anoka County, Minnesota",3105,2427,2311,634,40.7,124417,51563,1028,3.02,865,3.26,2503,70.2
27003050115,"Census Tract 501.15, Anoka County, Minnesota",5577,4193,4038,1077,41.0,114868,65958,1959,2.84,1500,3.12,4323,75.7
27003050116,"Census Tract 501.16, Anoka County, Minnesota",4682,3471,3219,762,38.7,112750,41016,1442,3.22,1217,3.43,3591,75.3
27003050208,"Census Tract 502.08, Anoka County, Minnesota",3303,2539,2351,554,40.9,117232,67366,1176,2.80,925,3.10,2682,76.4
27003050210,"Census Tract 502.10, Anoka County, Minnesota",4055,3239,3138,1099,48.2,104615,58162,1524,2.66,1150,3.01,3335,72.9
27003050215,"Census Tract 502.15, Anoka County, Minnesota",4464,3510,3307,1237,44.8,124659,41554,1582,2.82,1162,3.37,3602,67.7
27003050216,"Census Tract 502.16, Anoka County, Minnesota",5792,4297,4130,1102,43.2,134150,52778,1969,2.94,1685,3.19,4531,74.3
27003050217,"Census Tract 502.17, Anoka County, Minnesota",3384,2393,2279,563,36.8,123698,52566,1050,3.22,909,3.37,2505,73.3
27003050218,"Census Tract 502.18, Anoka County, Minnesota",3190,2463,2383,710,45.1,100469,76196,1160,2.75,942,2.99,2527,70.9
27003050219,"Census Tract 502.19, Anoka County, Minnesota",3001,2411,2300,624,46.6,104459,67143,1100,2.72,882,3.06,2481,68.5
27003050220,"Census Tract 502.20, Anoka County, Minnesota",7440,5417,5094,1196,37.8,122627,72011,2379,3.13,1827,3.49,5797,74.1
27003050221,"Census Tract 502.21, Anoka County, Minnesota",7072,4884,4660,993,35.8,131299,55352,2225,3.18,1893,3.45,5185,77.5
27003050222,"Census Tract 502.22, Anoka County, Minnesota",5343,3907,3740,811,40.5,117083,63676,1760,3.03,1602,3.12,4085,76.5
27003050223,"Census Tract 502.23, Anoka County, Minnesota",2962,2258,2137,662,43.3,120089,71838,906,3.27,775,3.54,2377,72.1
27003050224,"Census Tract 502.24, Anoka County, Minnesota",3604,2609,2477,540,37.4,112958,53750,1142,3.15,995,3.40,2716,78.0
27003050225,"Census Tract 502.25, Anoka County, Minnesota",6547,4788,4394,1097,35.3,104227,74028,2146,3.05,1772,3.37,4934,78.8
27003050226,"Census Tract 502.26, Anoka County, Minnesota",3027,2348,2259,599,41.1,108068,70000,1079,2.81,843,3.15,2467,76.8
27003050227,"Census Tract 502.27, Anoka County, Minnesota",4578,3354,3199,664,34.2,98456,75933,1593,2.87,1205,3.29,3469,77.9
27003050228,"Census Tract 502.28, Anoka County, Minnesota",5920,4323,4045,889,32.9,86338,54612,2275,2.60,1548,3.12,4563,75.6
27003050229,"Census Tract 502.29, Anoka County, Minnesota",5664,4547,4324,706,36.3,114484,84792,1544,2.91,1259,3.18,4669,58.7
27003050230,"Census Tract 502.30, Anoka County, Minnesota",2556,1826,1738,343,37.2,149583,71488,815,3.14,710,3.36,1905,78.5
27003050232,"Census Tract 502.32, Anoka County, Minnesota",3985,2827,2700,675,38.6,122250,51944,1396,2.85,1096,3.28,2932,78.2
27003050233,"Census Tract 502.33, Anoka County, Minnesota",3369,2530,2450,694,40.5,109545,54352,1132,2.98,958,3.25,2599,81.8
27003050234,"Census Tract 502.34, Anoka County, Minnesota",3407,2644,2514,692,39.4,105500,0,1154,2.95,988,3.12,2730,75.1
27003050235,"Census Tract 502.35, Anoka County, Minnesota",2771,2177,2143,778,45.4,89625,41467,1100,2.51,819,2.93,2296,64.3
27003050236,"Census Tract 502.36, Anoka County, Minnesota",4311,3130,3020,611,43.8,147279,81964,1397,3.09,1285,3.21,3364,77.9
27003050237,"Census Tract 502.37, Anoka County, Minnesota",5504,4088,3884,992,42.3,122279,47045,2015,2.73,1485,3.29,4287,72.4
27003050401,"Census Tract 504.01, Anoka County, Minnesota",2841,2165,1996,443,32.6,85758,42031,1069,2.64,658,3.54,2250,72.0
27003050402,"Census Tract 504.02, Anoka County, Minnesota",3588,2849,2749,900,41.5,86653,41354,1507,2.27,834,2.99,2965,66.0
27003050501,"Census Tract 505.01, Anoka County, Minnesota",3431,2839,2808,873,40.3,69375,34107,1485,2.12,811,2.69,2921,56.6
27003050504,"Census Tract 505.04, Anoka County, Minnesota",2411,1801,1695,579,38.9,52095,40950,1042,2.31,671,2.79,1829,64.2
27003050505,"Census Tract 505.05, Anoka County, Minnesota",5200,4028,3883,1275,38.5,72159,40333,1856,2.58,1228,3.20,4178,63.3
27003050602,"Census Tract 506.02, Anoka County, Minnesota",2477,1977,1865,485,35.6,82218,43750,908,2.72,621,3.22,2092,73.7
27003050605,"Census Tract 506.05, Anoka County, Minnesota",5902,4797,4724,1439,38.3,95023,33679,2311,2.55,1421,3.20,4914,69.7
27003050606,"Census Tract 506.06, Anoka County, Minnesota",1947,1511,1400,508,39.9,72361,32458,861,2.15,457,2.92,1537,65.5
27003050607,"Census Tract 506.07, Anoka County, Minnesota",4425,3372,3125,974,36.0,62450,36286,1788,2.46,1190,3.02,3485,68.4
27003050608,"Census Tract 506.08, Anoka County, Minnesota",4761,3649,3594,725,35.9,77625,46685,1991,2.39,1129,3.06,3767,78.1
27003050609,"Census Tract 506.09, Anoka County, Minnesota",3659,2812,2716,824,43.8,92872,52411,1487,2.45,1071,2.91,2974,70.8
27003050610,"Census Tract 506.10, Anoka County, Minnesota",6437,5068,4724,1527,41.5,93000,41047,2534,2.54,1644,3.18,5203,70.8
27003050702,"Census Tract 507.02, Anoka County, Minnesota",3541,2868,2697,730,38.3,83571,64881,1178,2.98,800,3.29,2935,76.5
27003050704,"Census Tract 507.04, Anoka County, Minnesota",4485,3607,3584,867,41.4,75619,54100,1820,2.46,1308,2.83,3696,72.0
27003050706,"Census Tract 507.06, Anoka County, Minnesota",3234,2406,2361,596,37.5,63219,42446,1291,2.50,839,3.05,2500,66.9
27003050707,"Census Tract 507.07, Anoka County, Minnesota",6130,4688,4432,1459,44.1,120795,51845,2178,2.81,1697,3.17,4921,72.3
27003050709,"Census Tract 507.09, Anoka County, Minnesota",2445,2080,1996,730,48.3,84250,59107,1096,2.22,580,2.89,2118,66.2
27003050710,"Census Tract 507.10, Anoka County, Minnesota",3826,3021,2927,923,39.6,77361,31452,1423,2.68,855,3.38,3104,67.2
27003050711,"Census Tract 507.11, Anoka County, Minnesota",4699,3679,3508,1147,41.3,108819,46658,1711,2.74,1224,3.37,3764,76.2
27003050712,"Census Tract 507.12, Anoka County, Minnesota",4549,3482,3390,1072,39.9,78169,45583,1751,2.51,1113,3.07,3641,69.3
27003050805,"Census Tract 508.05, Anoka County, Minnesota",6912,5023,4682,1518,37.9,95788,50568,2311,2.99,1975,3.20,5182,73.7
27003050806,"Census Tract 508.06, Anoka County, Minnesota",6413,4774,4495,1041,36.5,92976,46607,2256,2.83,1634,3.36,4940,80.6
27003050807,"Census Tract 508.07, Anoka County, Minnesota",4243,3083,2970,879,35.4,66595,55461,1436,2.95,1027,3.44,3148,70.9
27003050808,"Census Tract 508.08, Anoka County, Minnesota",2108,1706,1659,634,40.5,70625,25284,869,2.42,580,2.82,1738,68.6
27003050809,"Census Tract 508.09, Anoka County, Minnesota",6591,4656,4404,949,35.2,81546,44076,2294,2.87,1658,3.45,4988,70.6
27003050810,"Census Tract 508.10, Anoka County, Minnesota",4429,3501,3317,1150,41.5,68250,37561,1809,2.44,995,3.34,3600,68.9
27003050811,"Census Tract 508.11, Anoka County, Minnesota",2817,2220,2176,694,42.0,71742,35395,1181,2.37,733,2.94,2256,67.9
27003050813,"Census Tract 508.13, Anoka County, Minnesota",6006,4751,4540,1060,42.0,101908,42569,2299,2.61,1600,3.04,5066,73.3
27003050816,"Census Tract 508.16, Anoka County, Minnesota",5512,3805,3616,797,35.3,104844,48750,1842,2.98,1476,3.30,3926,73.2
27003050818,"Census Tract 508.18, Anoka County, Minnesota",6483,4541,4399,877,37.5,123889,70500,2332,2.78,1782,3.18,4620,76.0
27003050819,"Census Tract 508.19, Anoka County, Minnesota",4760,3311,3224,827,35.9,142196,81343,1614,2.95,1323,3.29,3480,70.0
27003050820,"Census Tract 508.20, Anoka County, Minnesota",3131,2340,2253,653,40.4,122222,0,1055,2.96,872,3.30,2402,71.6
27003050821,"Census Tract 508.21, Anoka County, Minnesota",4709,3317,3239,814,37.4,130944,80625,1825,2.58,1284,3.06,3529,73.5
27003050901,"Census Tract 509.01, Anoka County, Minnesota",2144,1696,1607,331,38.0,66667,44583,823,2.60,546,2.91,1809,73.2
27003050902,"Census Tract 509.02, Anoka County, Minnesota",4950,3804,3651,1051,39.8,102778,44429,1891,2.62,1260,3.24,3910,73.8
27003051001,"Census Tract 510.01, Anoka County, Minnesota",2833,2291,2134,812,46.0,61859,32361,1185,2.38,804,2.80,2332,64.1
27003051002,"Census Tract 510.02, Anoka County, Minnesota",3650,2856,2808,921,41.1,86176,52667,1520,2.39,850,3.08,2920,70.0
